frame,forcedBlank,brightness,bgMode,bg3Prio,TM,TS,cmEnabled,cmAddSub,cmHalve,cmSubtract,fixedColor,bg1_map,bg1_chr,bg1_hs,bg1_vs,bg2_map,bg2_chr,bg2_hs,bg2_vs,bg3_map,bg3_chr,bg3_hs,bg3_vs,w0l,w0r,w1l,w1r,wram10,wram0A,wram0E
9000,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,674,0,255,0,255,0,0,251,0
9060,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,629,0,255,0,255,0,0,55,0
9120,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,828,0,30720,24576,491,0,255,0,255,0,0,115,0
9180,0,15,1,1,16,0,63,1,0,0,0,26624,0,0,0,28672,0,828,0,30720,24576,43,0,255,0,255,0,0,175,0
9240,0,15,1,1,16,0,63,1,0,0,0,26624,0,0,0,28672,0,828,0,30720,24576,587,0,255,0,255,0,0,235,0
9300,0,15,1,1,17,0,63,1,0,0,0,26624,0,6,0,28672,8192,828,0,30720,24576,107,0,255,0,255,0,0,39,0
9360,0,15,1,1,17,0,63,1,0,0,0,28672,8192,34,0,26624,0,112,0,30720,24576,651,0,255,0,255,0,0,99,0
9420,0,15,1,1,19,0,63,1,0,0,0,26624,0,948,0,28672,8192,938,0,30720,24576,171,0,255,0,255,0,0,159,0
9480,0,15,1,1,17,0,63,1,0,0,0,26624,0,44,0,28672,8192,910,0,30720,24576,715,0,255,0,255,0,0,219,0
9540,0,15,1,1,17,0,63,1,0,0,0,28672,8192,1020,0,26624,0,112,0,30720,24576,235,0,255,0,255,0,0,23,0
9600,0,15,1,1,16,0,63,1,0,0,0,26624,0,958,0,28672,8192,910,0,30720,24576,779,0,255,0,255,0,0,83,0
9660,0,15,1,1,16,4,16,1,0,0,0,26624,0,958,0,28672,8192,910,0,30720,24576,299,0,255,0,255,0,0,143,0
9720,0,15,1,1,16,0,0,0,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,11,0,255,0,255,0,0,203,1
9780,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,903,28672,0,0,1002,30720,24576,996,0,255,0,255,0,0,7,0
9840,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,963,28672,0,0,1017,30720,24576,966,0,255,0,255,0,0,67,0
9900,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,1023,28672,0,0,1023,30720,24576,936,0,255,0,255,0,0,127,0
9960,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,1023,28672,0,0,1023,30720,24576,906,0,255,0,255,0,0,187,0
10020,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,1023,28672,0,0,1023,30720,24576,876,0,255,0,255,0,0,247,0
10080,0,15,1,1,0,0,0,0,0,0,0,26624,0,962,1023,28672,0,921,1023,30720,24576,824,0,255,0,255,0,0,51,0
10140,0,15,1,1,0,0,0,0,0,0,0,26624,0,768,0,28672,0,768,0,30720,24576,534,0,255,0,255,0,0,111,0
10200,0,15,1,1,0,0,0,0,0,0,0,26624,0,28,0,28672,0,768,0,30720,24576,505,0,255,0,255,0,0,171,0
10260,0,15,1,1,0,0,63,0,0,0,24311,26624,0,55,0,28672,0,768,0,30720,24576,864,38,255,0,255,0,0,231,0
10320,0,15,1,1,23,0,63,1,0,0,32767,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,35,0
10380,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,992,28672,0,0,992,30720,24576,0,0,255,0,255,0,0,95,0
10440,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,992,28672,0,0,992,30720,24576,0,0,255,0,255,0,0,155,0
10500,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,215,0
10560,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,19,0
10620,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,79,0
10680,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,139,0
10740,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,199,0
10800,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,3,0
10860,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,63,0
10920,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,123,0
10980,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,183,0
11040,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,243,0
11100,1,15,1,1,7,0,0,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,47,1
11160,1,0,1,1,23,0,0,1,0,0,0,26624,0,94,142,28672,0,0,0,30720,24576,0,0,255,0,255,0,2,107,3
11220,1,0,1,1,23,0,0,0,0,0,0,26624,0,128,232,30720,0,0,232,24576,12288,0,828,255,0,255,0,2,167,0
11280,1,0,1,1,23,0,0,0,0,0,0,26624,0,112,216,30720,0,1016,224,24576,12288,0,858,255,0,255,0,2,227,0
11340,1,0,1,1,23,0,0,0,0,0,0,26624,0,112,212,30720,0,1016,222,24576,12288,0,888,255,0,255,0,2,31,0
11400,1,0,1,1,23,0,0,0,0,0,0,26624,0,93,231,30720,0,1006,232,24576,12288,0,918,255,0,255,0,2,91,0
11460,1,0,1,1,23,0,0,0,0,0,0,26624,0,64,231,30720,0,992,232,24576,12288,0,948,255,0,255,0,2,151,0
11520,1,0,1,1,23,0,0,0,0,0,0,26624,0,64,231,30720,0,992,232,24576,12288,0,978,255,0,255,0,2,211,0
11580,1,0,1,1,23,0,0,0,0,0,0,26624,0,64,211,30720,0,992,222,24576,12288,0,1008,255,0,255,0,2,15,0
11640,1,0,1,1,23,0,0,0,0,0,0,26624,0,86,231,30720,0,1003,232,24576,12288,0,14,255,0,255,0,2,75,0
11700,1,0,1,1,23,0,0,0,0,0,0,26624,0,104,231,30720,0,1012,232,24576,12288,0,44,255,0,255,0,2,135,0
11760,1,0,1,1,23,0,0,0,0,0,0,26624,0,104,231,30720,0,1012,232,24576,12288,0,74,255,0,255,0,2,195,0
11820,1,0,1,1,23,0,0,0,0,0,0,26624,0,111,231,30720,0,1015,232,24576,12288,0,104,255,0,255,0,2,255,0
